participant_id,condition,task,questionnaire,item,response
P01,controller,1,rtlx,1,2
P01,controller,1,rtlx,2,2
P01,controller,1,rtlx,3,2
P01,controller,1,rtlx,4,2
P01,controller,1,rtlx,5,2
P01,controller,1,rtlx,6,2
P01,hand,1,rtlx,1,13
P01,hand,1,rtlx,2,7
P01,hand,1,rtlx,3,7
P01,hand,1,rtlx,4,12
P01,hand,1,rtlx,5,8
P01,hand,1,rtlx,6,11
P01,controller,2,rtlx,1,10
P01,controller,2,rtlx,2,7
P01,controller,2,rtlx,3,6
P01,controller,2,rtlx,4,5
P01,controller,2,rtlx,5,7
P01,controller,2,rtlx,6,5
P01,hand,2,rtlx,1,15
P01,hand,2,rtlx,2,15
P01,hand,2,rtlx,3,10
P01,hand,2,rtlx,4,12
P01,hand,2,rtlx,5,14
P01,hand,2,rtlx,6,14
P01,controller,3,rtlx,1,12
P01,controller,3,rtlx,2,8
P01,controller,3,rtlx,3,6
P01,controller,3,rtlx,4,5
P01,controller,3,rtlx,5,7
P01,controller,3,rtlx,6,5
P01,hand,3,rtlx,1,11
P01,hand,3,rtlx,2,7
P01,hand,3,rtlx,3,4
P01,hand,3,rtlx,4,9
P01,hand,3,rtlx,5,10
P01,hand,3,rtlx,6,5
P01,controller,4,rtlx,1,12
P01,controller,4,rtlx,2,12
P01,controller,4,rtlx,3,8
P01,controller,4,rtlx,4,7
P01,controller,4,rtlx,5,7
P01,controller,4,rtlx,6,6
P01,hand,4,rtlx,1,12
P01,hand,4,rtlx,2,7
P01,hand,4,rtlx,3,7
P01,hand,4,rtlx,4,9
P01,hand,4,rtlx,5,11
P01,hand,4,rtlx,6,13
P01,controller,NA,sus,1,4
P01,controller,NA,sus,2,1
P01,controller,NA,sus,3,4
P01,controller,NA,sus,4,2
P01,controller,NA,sus,5,5
P01,controller,NA,sus,6,1
P01,controller,NA,sus,7,5
P01,controller,NA,sus,8,2
P01,controller,NA,sus,9,4
P01,controller,NA,sus,10,2
P01,hand,NA,sus,1,2
P01,hand,NA,sus,2,2
P01,hand,NA,sus,3,4
P01,hand,NA,sus,4,4
P01,hand,NA,sus,5,4
P01,hand,NA,sus,6,2
P01,hand,NA,sus,7,1
P01,hand,NA,sus,8,2
P01,hand,NA,sus,9,1
P01,hand,NA,sus,10,5
P01,NA,NA,open,1,"The controllers as they were more natural movement, less steep learning curve. With my hands I tried to do natural movements that didn't actually move the liver in the way I wanted it to."
P01,NA,NA,open,2,"Arms got slightly tired in the hand control tests however very minimal."
P01,NA,NA,open,3,"The pinch with the rest of my hand relaxed, I think because I was not used to the system, the movements felt unnatural and therefore I was stiff."

participant_id,condition,task,questionnaire,item,response
P02,controller,1,rtlx,1,1
P02,controller,1,rtlx,2,1
P02,controller,1,rtlx,3,1
P02,controller,1,rtlx,4,1
P02,controller,1,rtlx,5,1
P02,controller,1,rtlx,6,1
P02,hand,1,rtlx,1,2
P02,hand,1,rtlx,2,3
P02,hand,1,rtlx,3,2
P02,hand,1,rtlx,4,3
P02,hand,1,rtlx,5,4
P02,hand,1,rtlx,6,4
P02,controller,2,rtlx,1,2
P02,controller,2,rtlx,2,1
P02,controller,2,rtlx,3,1
P02,controller,2,rtlx,4,2
P02,controller,2,rtlx,5,2
P02,controller,2,rtlx,6,1
P02,hand,2,rtlx,1,3
P02,hand,2,rtlx,2,4
P02,hand,2,rtlx,3,2
P02,hand,2,rtlx,4,4
P02,hand,2,rtlx,5,4
P02,hand,2,rtlx,6,3
P02,controller,3,rtlx,1,1
P02,controller,3,rtlx,2,1
P02,controller,3,rtlx,3,1
P02,controller,3,rtlx,4,2
P02,controller,3,rtlx,5,1
P02,controller,3,rtlx,6,1
P02,hand,3,rtlx,1,3
P02,hand,3,rtlx,2,4
P02,hand,3,rtlx,3,2
P02,hand,3,rtlx,4,5
P02,hand,3,rtlx,5,4
P02,hand,3,rtlx,6,4
P02,controller,4,rtlx,1,2
P02,controller,4,rtlx,2,1
P02,controller,4,rtlx,3,1
P02,controller,4,rtlx,4,2
P02,controller,4,rtlx,5,1
P02,controller,4,rtlx,6,1
P02,hand,4,rtlx,1,4
P02,hand,4,rtlx,2,3
P02,hand,4,rtlx,3,2
P02,hand,4,rtlx,4,3
P02,hand,4,rtlx,5,3
P02,hand,4,rtlx,6,2
P02,controller,NA,sus,1,5
P02,controller,NA,sus,2,1
P02,controller,NA,sus,3,5
P02,controller,NA,sus,4,1
P02,controller,NA,sus,5,5
P02,controller,NA,sus,6,1
P02,controller,NA,sus,7,5
P02,controller,NA,sus,8,1
P02,controller,NA,sus,9,5
P02,controller,NA,sus,10,1
P02,hand,NA,sus,1,5
P02,hand,NA,sus,2,1
P02,hand,NA,sus,3,5
P02,hand,NA,sus,4,4
P02,hand,NA,sus,5,4
P02,hand,NA,sus,6,3
P02,hand,NA,sus,7,4
