participant_id,condition,task,questionnaire,item,response
P02,hand,NA,sus,8,1
P02,hand,NA,sus,9,4
P02,hand,NA,sus,10,2
P02,NA,NA,open,1,"Controller due to more consistent movement and the increased stability. Both physical and sensor dataa add jitter to the hand control making it less smooth."
P02,NA,NA,open,2,"No although I could see fatigue in my wrist if used for an extended time on the hand system."
P02,NA,NA,open,3,"Rotation in the wrist down and up."

participant_id,condition,task,questionnaire,item,response
P03,controller,1,rtlx,1,3
P03,controller,1,rtlx,2,3
P03,controller,1,rtlx,3,4
P03,controller,1,rtlx,4,3
P03,controller,1,rtlx,5,4
P03,controller,1,rtlx,6,2
P03,hand,1,rtlx,1,2
P03,hand,1,rtlx,2,3
P03,hand,1,rtlx,3,2
P03,hand,1,rtlx,4,3
P03,hand,1,rtlx,5,3
P03,hand,1,rtlx,6,3
P03,controller,2,rtlx,1,6
P03,controller,2,rtlx,2,5
P03,controller,2,rtlx,3,7
P03,controller,2,rtlx,4,5
P03,controller,2,rtlx,5,6
P03,controller,2,rtlx,6,5
P03,hand,2,rtlx,1,5
P03,hand,2,rtlx,2,4
P03,hand,2,rtlx,3,5
P03,hand,2,rtlx,4,5
P03,hand,2,rtlx,5,5
P03,hand,2,rtlx,6,5
P03,controller,3,rtlx,1,8
P03,controller,3,rtlx,2,7
P03,controller,3,rtlx,3,6
P03,controller,3,rtlx,4,7
P03,controller,3,rtlx,5,6
P03,controller,3,rtlx,6,5
P03,hand,3,rtlx,1,5
P03,hand,3,rtlx,2,6
P03,hand,3,rtlx,3,7
P03,hand,3,rtlx,4,5
P03,hand,3,rtlx,5,5
P03,hand,3,rtlx,6,6
P03,controller,4,rtlx,1,8
P03,controller,4,rtlx,2,6
P03,controller,4,rtlx,3,8
P03,controller,4,rtlx,4,8
P03,controller,4,rtlx,5,6
P03,controller,4,rtlx,6,6
P03,hand,4,rtlx,1,5
P03,hand,4,rtlx,2,5
P03,hand,4,rtlx,3,5
P03,hand,4,rtlx,4,4
P03,hand,4,rtlx,5,4
P03,hand,4,rtlx,6,4
P03,controller,NA,sus,1,4
P03,controller,NA,sus,2,2
P03,controller,NA,sus,3,3
P03,controller,NA,sus,4,2
P03,controller,NA,sus,5,4
P03,controller,NA,sus,6,2
P03,controller,NA,sus,7,4
P03,controller,NA,sus,8,2
P03,controller,NA,sus,9,4
P03,controller,NA,sus,10,2
P03,hand,NA,sus,1,5
P03,hand,NA,sus,2,2
P03,hand,NA,sus,3,4
P03,hand,NA,sus,4,2
P03,hand,NA,sus,5,4
P03,hand,NA,sus,6,2
P03,hand,NA,sus,7,5
P03,hand,NA,sus,8,2
P03,hand,NA,sus,9,4
P03,hand,NA,sus,10,2
P03,NA,NA,open,1,"Hand. Feels more natural and intuitive."
P03,NA,NA,open,2,"Eyes, after a long time wearing the headset."
P03,NA,NA,open,3,"Some rotations using the hands, probably because the camera couldn't see my hand."

participant_id,condition,task,questionnaire,item,response
P04,controller,1,rtlx,1,4
P04,controller,1,rtlx,2,5
P04,controller,1,rtlx,3,9
P04,controller,1,rtlx,4,3
P04,controller,1,rtlx,5,8
P04,controller,1,rtlx,6,2
P04,hand,1,rtlx,1,7
P04,hand,1,rtlx,2,6
P04,hand,1,rtlx,3,9
P04,hand,1,rtlx,4,3
P04,hand,1,rtlx,5,9
P04,hand,1,rtlx,6,6
P04,controller,2,rtlx,1,7
P04,controller,2,rtlx,2,5
P04,controller,2,rtlx,3,9
P04,controller,2,rtlx,4,5
P04,controller,2,rtlx,5,9
P04,controller,2,rtlx,6,7
P04,hand,2,rtlx,1,9
P04,hand,2,rtlx,2,5
P04,hand,2,rtlx,3,9
P04,hand,2,rtlx,4,6
P04,hand,2,rtlx,5,10
P04,hand,2,rtlx,6,9
P04,controller,3,rtlx,1,7
P04,controller,3,rtlx,2,5
P04,controller,3,rtlx,3,9
P04,controller,3,rtlx,4,4
P04,controller,3,rtlx,5,9
P04,controller,3,rtlx,6,7
P04,hand,3,rtlx,1,7
P04,hand,3,rtlx,2,6
P04,hand,3,rtlx,3,9
P04,hand,3,rtlx,4,5
P04,hand,3,rtlx,5,10
P04,hand,3,rtlx,6,9
P04,controller,4,rtlx,1,8
P04,controller,4,rtlx,2,6
P04,controller,4,rtlx,3,9
P04,controller,4,rtlx,4,4
P04,controller,4,rtlx,5,9
P04,controller,4,rtlx,6,6
P04,hand,4,rtlx,1,13
P04,hand,4,rtlx,2,6
P04,hand,4,rtlx,3,9
P04,hand,4,rtlx,4,8
P04,hand,4,rtlx,5,16
P04,hand,4,rtlx,6,18
P04,controller,NA,sus,1,4
P04,controller,NA,sus,2,2
P04,controller,NA,sus,3,5
P04,controller,NA,sus,4,1
P04,controller,NA,sus,5,4
P04,controller,NA,sus,6,1
P04,controller,NA,sus,7,5
P04,controller,NA,sus,8,1
P04,controller,NA,sus,9,4
P04,controller,NA,sus,10,1
P04,hand,NA,sus,1,4
P04,hand,NA,sus,2,3
P04,hand,NA,sus,3,3
P04,hand,NA,sus,4,4
P04,hand,NA,sus,5,4
P04,hand,NA,sus,6,2
P04,hand,NA,sus,7,3
P04,hand,NA,sus,8,2
P04,hand,NA,sus,9,4
P04,hand,NA,sus,10,2
P04,NA,NA,open,1,"I perfer using the contrller as the system felt easier to use but I can imagine the hand would be much nicer with practice."
P04,NA,NA,open,2,"The headset was heavy at times but this is one of the first times using very so I am not used to it."
P04,NA,NA,open,3,"The rotation gesture was difficult as it felt hard to coordinate with showing the palm etc."

participant_id,condition,task,questionnaire,item,response
P05,controller,1,rtlx,1,
P05,controller,1,rtlx,2,
P05,controller,1,rtlx,3,
P05,controller,1,rtlx,4,
P05,controller,1,rtlx,5,
P05,controller,1,rtlx,6,
P05,hand,1,rtlx,1,
P05,hand,1,rtlx,2,
P05,hand,1,rtlx,3,
P05,hand,1,rtlx,4,
P05,hand,1,rtlx,5,
P05,hand,1,rtlx,6,
P05,controller,2,rtlx,1,
P05,controller,2,rtlx,2,
P05,controller,2,rtlx,3,
P05,controller,2,rtlx,4,
P05,controller,2,rtlx,5,
P05,controller,2,rtlx,6,
P05,hand,2,rtlx,1,
P05,hand,2,rtlx,2,
P05,hand,2,rtlx,3,
P05,hand,2,rtlx,4,
P05,hand,2,rtlx,5,
P05,hand,2,rtlx,6,
P05,controller,3,rtlx,1,
P05,controller,3,rtlx,2,
P05,controller,3,rtlx,3,
P05,controller,3,rtlx,4,
P05,controller,3,rtlx,5,
P05,controller,3,rtlx,6,
P05,hand,3,rtlx,1,
P05,hand,3,rtlx,2,
P05,hand,3,rtlx,3,
P05,hand,3,rtlx,4,
P05,hand,3,rtlx,5,
P05,hand,3,rtlx,6,
P05,controller,4,rtlx,1,
P05,controller,4,rtlx,2,
P05,controller,4,rtlx,3,
P05,controller,4,rtlx,4,
P05,controller,4,rtlx,5,
P05,controller,4,rtlx,6,
P05,hand,4,rtlx,1,
P05,hand,4,rtlx,2,
P05,hand,4,rtlx,3,
P05,hand,4,rtlx,4,
P05,hand,4,rtlx,5,
P05,hand,4,rtlx,6,
P05,controller,NA,sus,1,
P05,controller,NA,sus,2,
P05,controller,NA,sus,3,
P05,controller,NA,sus,4,
P05,controller,NA,sus,5,
P05,controller,NA,sus,6,
P05,controller,NA,sus,7,
P05,controller,NA,sus,8,
P05,controller,NA,sus,9,
P05,controller,NA,sus,10,
P05,hand,NA,sus,1,
P05,hand,NA,sus,2,
P05,hand,NA,sus,3,
P05,hand,NA,sus,4,
P05,hand,NA,sus,5,
P05,hand,NA,sus,6,
P05,hand,NA,sus,7,
P05,hand,NA,sus,8,
P05,hand,NA,sus,9,
P05,hand,NA,sus,10,
P05,NA,NA,open,1,""
P05,NA,NA,open,2,""
P05,NA,NA,open,3,""
